op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,2138.597,3106.141,0.062,80.000,323.125,120.141,239.859,810.000
enc-1st-layernorm,164.443,632.632,80.000,160.000,0.000,80.125,0.000,640.000
enc-attention-qkv,4033.583,1799.792,120.000,320.000,18.750,240.000,240.000,760.000
enc-attention-score,1154.763,1914.489,240.000,1184.000,0.000,1024.000,1024.000,2168.000
enc-attention-softmax,1375.175,1860.845,1184.000,1184.000,0.000,1024.000,0.000,3072.000
enc-attention-dropout,2336.800,1953.530,1184.000,1184.000,0.000,1536.000,0.000,4096.000
enc-attention-context,1082.414,2073.890,1184.000,160.000,0.000,40.000,40.000,1144.000
enc-attention-dense,1171.482,396.490,160.000,200.005,6.250,80.000,0.000,280.000
enc-post-attention-dropout,563.419,289.899,200.005,120.000,0.000,120.000,80.000,430.000
enc-2nd-layernorm,162.929,635.797,120.000,200.000,0.000,80.125,0.000,640.000
enc-MLP-GEMM-1,1922.166,2251.768,200.000,280.010,25.000,160.000,0.000,560.000
enc-MLP-gelu,290.900,529.689,280.010,280.000,0.000,160.000,0.000,750.000
enc-MLP-GEMM-2,2250.320,1633.722,280.000,200.005,25.000,80.000,0.000,400.000
enc-post-MLP-dropout,556.654,282.592,200.005,120.000,0.000,120.000,80.000,430.000
final-layernorm,354.862,730.085,120.000,120.000,0.000,160.125,0.000,320.000
gpt-post-process,49720.591,30168.003,120.000,40.000,313.125,4008.203,2003.797,0.000
