data_size(MB),time(ms)
15,0.545
10,0.362
20,0.977
30,0.922
40,1.120
256,5.837
276,6.747
384,8.450
50,2.074
1002,36.145
25,0.746
128,3.270
143,3.452
192,4.430
5,0.239
502,18.511
148,3.470
35,0.999
7,0.285
17,0.540
64,1.602
76,1.911
96,2.371
2,0.180
12,0.435
250,9.474
84,2.170
27,1.268
60,1.502
80,2.037
512,11.280
552,12.067
768,16.604
100,3.983
2004,1000000000.000
286,6.487
296,6.661
70,1.757
153,3.554
168,3.966
55,2.312
120,2.846
160,3.708
1024,21.852
1104,1000000000.000
1536,1000000000.000
200,7.689
4008,1000000000.000
572,12.546
592,12.830
140,5.670
306,6.865
336,7.446
110,4.361
240,5.402
320,7.172
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,14.801
8016,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,6.250
612,13.326
672,14.597
220,8.425
