data_size(MB),time(ms)
15,0.209
10,0.169
20,0.243
30,0.316
40,0.444
256,2.006
276,2.135
384,2.895
50,0.490
1002,7.269
25,0.297
128,1.070
143,1.183
192,1.501
5,0.152
502,3.757
148,1.224
35,0.369
7,0.178
17,0.239
64,0.600
76,0.688
96,0.817
2,0.096
12,0.176
250,1.943
84,0.719
27,0.314
60,0.534
80,0.715
512,3.834
552,4.114
768,5.614
100,0.892
2004,14.220
286,2.216
296,2.307
70,0.625
153,1.232
168,1.341
55,0.569
120,1.048
160,1.319
1024,7.436
1104,7.949
1536,10.894
200,1.604
4008,27.894
572,4.260
592,4.436
140,1.186
306,2.354
336,2.576
110,0.953
240,1.867
320,2.472
2048,14.513
2208,15.553
3072,21.437
400,3.063
8016,1000000000.000
1144,8.256
1184,8.588
280,2.186
612,4.531
672,4.977
220,1.737
