data_size(MB),time(ms)
15,0.225
10,0.195
20,0.253
30,0.277
40,0.326
256,1.210
276,1.280
384,1.702
50,0.461
1002,5.776
25,0.265
128,0.695
143,0.763
192,0.957
5,0.159
502,3.175
148,0.836
35,0.370
7,0.262
17,0.238
64,0.432
76,0.483
96,0.568
2,0.267
12,0.277
250,1.671
84,0.549
27,0.309
60,0.426
80,0.503
512,2.197
552,2.350
768,3.159
100,0.804
2004,1000000000.000
286,1.330
296,1.376
70,0.458
153,0.806
168,0.869
55,0.486
120,0.669
160,0.830
1024,4.097
1104,1000000000.000
1536,1000000000.000
200,1.365
4008,1000000000.000
572,2.429
592,2.517
140,0.804
306,1.404
336,1.525
110,0.821
240,1.136
320,1.460
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,2.533
8016,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,1.296
612,2.583
672,2.799
220,1.490
