data_size(MB),time(ms)
15,0.276
10,0.368
20,0.307
30,0.337
40,0.404
256,1.571
276,1.665
384,2.236
50,1.129
1002,12.762
25,0.318
128,0.876
143,0.987
192,1.206
5,0.245
502,6.811
148,0.991
35,0.366
7,0.354
17,0.388
64,0.539
76,0.593
96,0.761
2,0.356
12,0.249
250,3.388
84,0.704
27,0.674
60,0.496
80,0.680
512,2.947
552,3.178
768,4.293
100,2.027
2004,25.289
286,1.750
296,1.789
70,0.557
153,1.005
168,1.082
55,1.236
120,0.908
160,1.056
1024,5.668
1104,6.039
1536,8.276
200,3.523
4008,67.954
572,3.265
592,3.378
140,0.971
306,1.843
336,2.020
110,2.179
240,1.539
320,1.918
2048,10.945
2208,11.717
3072,16.098
400,6.781
8016,1000000000.000
1144,6.271
1184,6.491
280,1.706
612,3.459
672,3.774
220,3.852
