data_size(MB),time(ms)
42,0.272
28,0.220
56,0.319
84,0.427
112,0.514
448,1.653
504,1.826
672,2.181
140,0.907
392,2.312
70,0.369
224,0.891
266,1.033
336,1.273
14,0.169
196,1.222
280,1.085
98,0.679
21,0.199
49,0.296
147,0.637
168,0.707
7,0.162
35,0.247
77,0.554
896,2.842
1008,3.165
1344,4.170
786,4.017
532,1.772
560,1.871
294,1.132
154,0.986
1792,5.510
2016,6.172
2688,1000000000.000
1572,7.842
1064,3.343
1120,3.525
588,1.955
308,1.840
3584,1000000000.000
4032,1000000000.000
5376,1000000000.000
3142,1000000000.000
2128,1000000000.000
2240,1000000000.000
784,3.989
1176,3.675
616,3.181
