data_size(MB),time(ms)
42,0.403
28,0.329
56,0.476
84,0.704
112,0.821
448,2.611
504,2.888
672,3.774
140,0.971
392,5.196
70,0.557
224,1.397
266,1.631
336,2.020
14,0.326
196,2.725
280,1.706
98,1.948
21,0.381
49,0.480
147,0.989
168,1.082
7,0.354
35,0.366
77,1.571
896,4.972
1008,5.545
1344,7.277
786,10.049
532,3.044
560,3.186
294,1.773
154,2.926
1792,9.628
2016,10.753
2688,14.170
1572,25.850
1064,5.842
1120,6.151
588,3.347
308,5.676
3584,18.768
4032,20.930
5376,1000000000.000
3142,52.001
2128,11.404
2240,11.962
784,13.052
1176,6.424
616,10.516
