data_size(MB),time(ms)
6,0.128
4,0.111
8,0.140
12,0.159
16,0.198
128,0.817
136,0.873
192,1.155
20,0.195
392,2.294
10,0.141
64,0.448
70,0.482
96,0.616
2,0.088
196,1.218
72,0.484
14,0.171
3,0.089
7,0.121
32,0.285
37,0.303
48,0.357
1,0.081
5,0.102
98,0.655
40,0.331
11,0.139
24,0.228
256,1.529
272,1.624
384,2.204
786,4.389
140,0.892
144,0.897
28,0.241
74,0.508
80,0.544
22,0.203
512,2.929
544,3.080
768,4.208
1572,8.323
280,1.664
288,1.692
56,0.421
148,0.931
160,0.997
44,0.350
1024,5.504
1088,5.946
1536,8.103
3142,16.136
560,3.183
576,3.212
112,0.740
296,1.769
320,1.898
88,0.580
