op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,4121.244,5695.546,0.062,224.000,743.312,280.070,671.930,1384.000
enc-1st-layernorm,541.598,1857.847,224.000,448.000,0.000,224.062,0.000,896.000
enc-attention-qkv,10305.226,11091.089,448.000,560.000,294.000,336.000,336.000,560.000
enc-attention-score,1982.164,3748.113,560.000,2128.000,0.000,1792.000,1792.000,336.000
enc-attention-softmax,10247.350,16614.777,2128.000,2128.000,0.000,1792.000,1792.000,3584.000
enc-attention-dropout,3536.034,3054.190,2128.000,2128.000,0.000,2240.000,0.000,3584.000
enc-attention-context,2020.442,3638.655,2128.000,336.000,0.000,112.000,112.000,1904.000
enc-attention-dense,4665.548,3160.483,336.000,448.027,98.000,224.000,0.000,336.000
enc-post-attention-dropout,1334.518,740.361,448.027,224.000,0.000,280.000,224.000,558.000
enc-2nd-layernorm,540.459,1784.766,224.000,448.000,0.000,224.062,0.000,896.000
enc-MLP-GEMM-1,13291.401,13449.532,448.000,672.055,392.000,448.000,0.000,672.000
enc-MLP-gelu,736.845,1377.720,672.055,672.000,0.000,448.000,0.000,1008.000
enc-MLP-GEMM-2,15277.284,11904.693,672.000,448.027,392.000,224.000,0.000,672.000
enc-post-MLP-dropout,1298.410,729.299,448.027,224.000,0.000,280.000,224.000,558.000
final-layernorm,905.269,1262.242,224.000,224.000,0.000,448.062,0.000,448.000
gpt-post-process,25485.289,24703.151,224.000,0.000,687.312,786.102,0.000,0.000
