op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,1274.133,1852.828,0.125,64.000,106.188,80.141,191.859,300.000
enc-1st-layernorm,110.584,436.920,64.000,128.000,0.000,64.125,0.000,256.000
enc-attention-qkv,2309.042,711.673,96.000,256.000,6.000,192.000,192.000,224.000
enc-attention-score,920.171,1808.161,192.000,1152.000,0.000,1024.000,1024.000,96.000
enc-attention-softmax,5864.781,9517.300,1152.000,1152.000,0.000,1024.000,1024.000,2048.000
enc-attention-dropout,2014.565,1750.135,1152.000,1152.000,0.000,1280.000,0.000,2048.000
enc-attention-context,1000.404,1808.339,1152.000,128.000,0.000,32.000,32.000,1056.000
enc-attention-dense,731.784,156.415,128.000,160.004,2.000,64.000,0.000,96.000
enc-post-attention-dropout,392.127,223.398,160.004,96.000,0.000,80.000,64.000,236.000
enc-2nd-layernorm,110.900,436.544,96.000,160.000,0.000,64.125,0.000,256.000
enc-MLP-GEMM-1,566.357,1148.909,160.000,224.008,8.000,128.000,0.000,192.000
enc-MLP-gelu,221.956,425.535,224.008,224.000,0.000,128.000,0.000,364.000
enc-MLP-GEMM-2,1077.020,560.659,224.000,160.004,8.000,64.000,0.000,192.000
enc-post-MLP-dropout,384.116,216.132,160.004,96.000,0.000,80.000,64.000,236.000
final-layernorm,212.497,632.322,96.000,96.000,0.000,128.125,0.000,128.000
gpt-post-process,16460.508,9520.632,96.000,32.000,98.188,1572.203,0.000,0.000
