data_size(MB),time(ms)
70,0.916
56,0.758
112,1.383
168,2.005
224,2.562
896,8.809
1008,9.799
1120,10.894
280,4.771
392,6.008
84,1.033
140,1.658
448,4.541
532,5.379
560,5.719
28,0.426
196,3.177
42,0.593
98,1.162
294,3.102
14,0.255
336,3.492
154,2.589
1792,17.189
2016,19.223
2240,1000000000.000
786,11.623
1064,10.521
588,5.887
672,6.638
308,4.901
3584,1000000000.000
4032,1000000000.000
4480,1000000000.000
1572,22.897
2128,1000000000.000
784,11.543
1176,11.357
1344,12.955
616,9.575
7168,1000000000.000
8064,1000000000.000
8960,1000000000.000
3142,1000000000.000
4256,1000000000.000
1568,22.835
2352,1000000000.000
2688,1000000000.000
1232,18.051
