op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,4592.419,3194.189,0.062,224.000,378.000,336.141,671.859,1740.000
enc-1st-layernorm,264.758,799.346,224.000,448.000,0.000,224.125,0.000,1792.000
enc-attention-qkv,4957.145,6363.040,448.000,560.000,147.000,336.000,336.000,1232.000
enc-attention-score,659.645,1356.858,560.000,2128.000,0.000,1792.000,1792.000,3920.000
enc-attention-softmax,1157.671,1905.352,2128.000,2128.000,0.000,1792.000,0.000,5376.000
enc-attention-dropout,2029.729,1311.874,2128.000,2128.000,0.000,2688.000,0.000,7168.000
enc-attention-context,766.027,1297.188,2128.000,336.000,0.000,112.000,112.000,2128.000
enc-attention-dense,3575.224,1056.606,336.000,448.014,49.000,224.000,0.000,784.000
enc-post-attention-dropout,761.443,314.385,448.014,224.000,0.000,336.000,224.000,1030.000
enc-2nd-layernorm,288.630,804.776,224.000,448.000,0.000,224.125,0.000,1792.000
enc-MLP-GEMM-1,5870.950,6754.249,448.000,672.027,196.000,448.000,0.000,1568.000
enc-MLP-gelu,458.628,629.860,672.027,672.000,0.000,448.000,0.000,1926.000
enc-MLP-GEMM-2,8446.348,4832.947,672.000,448.014,196.000,224.000,0.000,1120.000
enc-post-MLP-dropout,774.992,314.039,448.014,224.000,0.000,336.000,224.000,1030.000
final-layernorm,589.502,618.422,224.000,224.000,0.000,448.125,0.000,896.000
gpt-post-process,13287.896,12115.550,224.000,0.000,350.000,1600.203,799.797,0.000
