data_size(MB),time(ms)
15,0.291
10,0.278
20,0.490
30,0.496
40,0.620
256,3.402
276,3.580
384,4.917
50,1.075
1002,18.496
25,0.433
128,1.747
143,1.929
192,2.528
5,0.157
502,9.416
148,2.035
35,0.542
7,0.178
17,0.322
64,0.932
76,1.084
96,1.321
2,0.142
12,0.259
250,4.811
84,1.173
27,0.638
60,0.866
80,1.130
512,6.593
552,6.998
768,9.691
100,2.012
2004,1000000000.000
286,3.786
296,3.905
70,1.023
153,2.041
168,2.224
55,1.169
120,1.627
160,2.175
1024,13.227
1104,1000000000.000
1536,1000000000.000
200,3.850
4008,1000000000.000
572,7.348
592,7.693
140,2.725
306,3.946
336,4.321
110,2.184
240,3.124
320,4.175
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,7.540
8016,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,3.716
612,7.741
672,8.477
220,4.214
