data_size(MB),time(ms)
15,0.145
10,0.137
20,0.170
30,0.193
40,0.229
256,0.853
276,0.896
384,1.210
50,0.310
1002,4.087
25,0.184
128,0.491
143,0.530
192,0.671
5,0.132
502,2.226
148,0.541
35,0.210
7,0.120
17,0.167
64,0.305
76,0.341
96,0.401
2,0.123
12,0.147
250,1.155
84,0.362
27,0.229
60,0.292
80,0.349
512,1.567
552,1.707
768,2.329
100,0.547
2004,1000000000.000
286,0.930
296,0.954
70,0.309
153,0.552
168,0.591
55,0.327
120,0.455
160,0.577
1024,3.067
1104,1000000000.000
1536,1000000000.000
200,0.921
4008,1000000000.000
572,1.771
592,1.818
140,0.517
306,0.985
336,1.070
110,0.547
240,0.808
320,1.028
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,1.774
8016,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,0.904
612,1.881
672,2.054
220,0.989
