data_size(MB),time(ms)
6,0.166
4,0.153
8,0.188
12,0.240
16,0.293
128,1.704
136,1.806
192,2.497
20,0.470
400,7.626
7,0.159
10,0.197
64,0.898
70,1.008
96,1.303
2,0.116
200,3.855
72,1.001
14,0.270
3,0.114
32,0.496
37,0.558
48,0.697
1,0.119
5,0.133
100,1.974
40,0.606
11,0.223
24,0.387
256,3.285
272,3.467
384,4.801
800,15.022
13,0.255
140,2.732
25,0.416
144,1.921
28,0.456
74,1.039
80,1.117
22,0.405
512,6.326
544,6.723
768,9.377
1600,30.061
280,3.569
288,3.702
56,0.817
148,1.991
160,2.140
44,0.693
1024,12.412
1088,13.036
1536,18.322
3200,1000000000.000
560,6.986
576,7.111
112,1.504
296,3.789
320,4.067
88,1.258
