data_size(MB),time(ms)
6,0.116
4,0.100
8,0.139
12,0.179
16,0.219
128,1.330
136,1.392
192,1.920
20,0.264
400,3.737
7,0.129
10,0.158
64,0.698
70,0.754
96,1.009
2,0.079
200,1.973
72,0.780
14,0.195
3,0.088
32,0.379
37,0.430
48,0.540
1,0.078
5,0.105
100,1.055
40,0.459
11,0.171
24,0.298
256,2.510
272,2.647
384,3.682
800,7.436
13,0.191
140,1.422
25,0.314
144,1.464
28,0.339
74,0.796
80,0.854
22,0.284
512,4.819
544,5.116
768,7.117
1600,14.582
280,2.721
288,2.799
56,0.614
148,1.507
160,1.622
44,0.505
1024,9.438
1088,9.966
1536,13.924
3200,27.976
560,5.229
576,5.415
112,1.154
296,2.884
320,3.100
88,0.942
