data_size(MB),time(ms)
25,0.310
20,0.244
40,0.454
60,0.659
80,0.838
512,4.800
552,5.152
640,5.961
100,1.055
1002,9.003
30,0.365
50,0.556
256,2.507
286,2.775
320,3.080
10,0.164
502,4.613
296,2.876
70,0.747
15,0.205
35,0.410
128,1.306
153,1.552
160,1.607
5,0.103
250,2.413
168,1.687
55,0.623
120,1.235
1024,9.387
1104,10.037
1280,11.647
200,1.963
2004,18.164
572,5.326
592,5.513
140,1.424
306,2.949
336,3.238
110,1.146
240,2.344
2048,18.493
2208,19.935
2560,23.077
400,3.714
4008,35.805
1144,10.460
1184,10.784
280,2.664
612,5.746
672,6.257
220,2.237
480,4.567
4096,36.597
4416,1000000000.000
5120,1000000000.000
800,7.493
8016,1000000000.000
2288,20.674
2368,21.303
560,5.269
1224,11.167
1344,12.303
440,4.201
