data_size(MB),time(ms)
25,0.352
20,0.304
40,0.457
60,0.572
80,0.707
512,3.408
552,3.639
640,4.183
100,0.890
1002,6.078
30,0.382
50,0.508
256,1.857
286,1.999
320,2.251
10,0.236
502,3.175
296,2.099
70,0.611
15,0.239
35,0.371
128,1.034
153,1.157
160,1.235
5,0.180
250,1.707
168,1.253
55,0.521
120,0.936
1024,6.428
1104,6.760
1280,7.807
200,1.436
2004,11.731
572,3.702
592,3.885
140,1.071
306,2.106
336,2.374
110,0.889
240,1.700
2048,12.402
2208,13.069
2560,15.314
400,2.602
4008,24.502
1144,6.962
1184,7.218
280,2.009
612,3.929
672,4.403
220,1.606
480,3.131
4096,23.830
4416,1000000000.000
5120,1000000000.000
800,4.995
8016,1000000000.000
2288,13.703
2368,14.140
560,3.646
1224,7.468
1344,8.342
440,2.882
