data_size(MB),time(ms)
70,0.531
56,0.443
112,0.798
168,0.947
224,1.233
896,4.648
1008,5.213
1120,5.784
280,2.935
400,2.143
84,0.619
140,0.800
448,2.373
532,2.793
560,2.935
28,0.268
200,1.126
196,1.101
42,0.356
98,0.708
294,1.587
14,0.172
100,0.731
336,1.802
154,1.660
1792,9.193
2016,10.325
2240,1000000000.000
800,4.196
1064,5.501
392,2.107
588,3.081
672,3.510
308,3.240
3584,1000000000.000
4032,1000000000.000
4480,1000000000.000
1600,16.121
2128,1000000000.000
784,4.119
1176,6.068
1344,6.922
616,6.401
7168,1000000000.000
8064,1000000000.000
8960,1000000000.000
3200,1000000000.000
4256,1000000000.000
1568,8.142
2352,1000000000.000
2688,1000000000.000
1232,12.742
