data_size(MB),time(ms)
10,0.236
8,0.219
16,0.278
24,0.331
32,0.384
256,1.857
272,1.943
320,2.251
40,0.457
400,2.602
12,0.251
20,0.304
128,1.034
140,1.071
160,1.235
4,0.213
200,1.436
144,1.138
28,0.315
7,0.288
14,0.303
64,0.606
74,0.666
80,0.707
2,0.203
100,0.890
22,0.325
6,0.210
48,0.577
512,3.408
544,3.621
640,4.183
800,4.995
280,2.009
288,2.045
56,0.505
148,1.167
44,0.476
96,0.812
1024,6.428
1088,6.769
1280,7.807
1600,9.912
560,3.646
576,3.806
112,0.886
296,2.099
88,0.778
192,1.449
2048,12.402
2176,13.192
2560,15.314
3200,19.065
1120,6.934
1152,7.094
224,1.618
592,3.885
176,1.329
