op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,16884.077,2483.213,0.031,40.000,88.281,60.070,119.930,406.000
enc-1st-layernorm,207.525,746.214,40.000,80.000,0.000,40.062,0.000,320.000
enc-attention-qkv,43600.917,1808.155,45.000,160.000,4.688,120.000,120.000,360.000
enc-attention-score,321.847,648.832,90.000,208.000,0.000,128.000,128.000,276.000
enc-attention-softmax,424.296,522.655,208.000,208.000,0.000,128.000,0.000,384.000
enc-attention-dropout,692.433,625.700,208.000,208.000,0.000,192.000,0.000,512.000
enc-attention-context,333.089,630.724,208.000,80.000,0.000,5.000,0.000,138.000
enc-attention-dense,14436.799,273.794,80.000,115.005,1.562,40.000,0.000,120.000
enc-post-attention-dropout,620.961,357.264,115.005,75.000,0.000,60.000,40.000,196.000
enc-2nd-layernorm,215.417,751.340,75.000,115.000,0.000,40.062,0.000,320.000
enc-MLP-GEMM-1,929.862,15151.322,115.000,95.002,6.250,20.000,0.000,100.000
enc-MLP-gelu,86.004,172.061,95.002,95.000,0.000,20.000,0.000,116.000
enc-MLP-GEMM-2,15070.045,905.365,95.000,115.005,6.250,40.000,0.000,140.000
enc-post-MLP-dropout,622.803,357.789,115.005,75.000,0.000,60.000,40.000,196.000
final-layernorm,405.836,746.655,75.000,75.000,0.000,80.062,0.000,160.000
gpt-post-process,20922.035,28235.221,75.000,35.000,78.281,502.102,251.898,0.000
