data_size(MB),time(ms)
15,2.854
10,1.984
20,3.727
30,5.508
40,7.367
256,46.231
276,49.867
384,69.282
50,11.718
1002,231.903
25,4.603
128,23.166
143,25.777
192,34.660
5,1.068
11,3.087
502,116.302
148,26.745
35,6.436
7,1.438
17,3.311
64,11.599
76,20.291
96,17.384
2,0.556
12,2.261
250,58.077
84,15.234
27,7.467
13,2.636
32,5.902
43,7.959
48,8.737
1,0.356
126,22.814
52,9.556
28,5.175
18,3.404
23,6.212
8,1.609
60,11.067
80,21.644
512,92.400
552,99.540
768,138.330
100,26.700
2004,463.955
286,51.605
296,53.396
70,12.725
153,27.637
168,30.387
55,14.763
86,15.755
22,5.929
104,18.846
57,15.455
37,6.783
47,12.780
120,21.716
160,28.895
1024,184.434
1104,199.001
1536,276.662
200,53.286
10000000,1000000000.000
572,103.076
592,106.586
140,25.358
306,55.228
336,60.630
110,29.388
173,31.236
45,8.216
208,37.523
115,30.703
75,13.612
95,25.392
240,43.282
320,57.713
2048,368.886
2208,397.552
400,106.644
1144,206.119
4008,1000000.000
1184,213.242
280,50.529
612,110.346
672,121.130
220,58.607
346,62.396
90,16.393
416,75.100
230,61.303
150,27.116
190,50.623
