data_size(MB),time(ms)
6,1.969
4,1.315
8,2.557
12,3.875
16,5.146
128,40.691
136,43.270
192,61.009
20,6.427
392,124.790
10,3.376
64,20.382
70,22.295
96,30.548
2,0.694
196,62.484
72,22.896
14,4.511
3,1.187
7,2.275
32,10.224
37,11.797
48,15.319
1,0.378
5,1.644
98,31.216
40,12.776
11,3.527
24,7.801
0,0.224
50,15.960
9,3.064
256,81.335
272,86.491
384,122.038
786,249.697
140,44.495
144,45.764
28,8.951
74,23.552
80,25.685
22,7.053
41,13.066
23,7.396
15,4.920
19,6.088
512,162.613
544,172.868
768,243.989
1572,499.298
280,88.956
288,91.542
56,17.843
148,47.119
160,50.932
44,14.046
82,26.127
18,5.767
46,14.683
30,9.590
38,12.272
1024,325.278
1088,345.633
1536,487.941
3142,1000000.000
560,177.871
576,183.004
112,35.661
296,94.116
320,101.687
88,27.995
164,52.161
36,11.471
92,29.265
60,19.093
76,24.176
