data_size(MB),time(ms)
6,1.232
4,0.881
8,1.609
12,2.261
16,3.003
128,23.166
136,24.587
192,34.660
20,3.727
392,91.032
10,1.984
64,11.599
70,12.725
96,17.384
2,0.556
196,45.363
72,13.077
14,2.626
3,0.804
7,1.438
32,5.902
37,6.783
48,8.737
1,0.356
5,1.068
98,26.274
40,7.367
11,3.087
24,4.581
0,0.278
50,11.718
9,2.639
256,46.231
272,49.169
384,69.282
786,182.182
140,25.358
144,26.040
28,5.175
74,13.492
80,21.644
22,5.929
41,7.548
23,6.212
15,2.854
19,5.202
512,92.400
544,98.083
768,138.330
1572,415.088
280,50.529
288,51.958
56,10.192
148,26.745
160,28.895
44,11.809
82,14.944
18,3.404
46,12.344
30,5.508
38,7.037
1024,184.434
1088,195.978
1536,276.662
3142,1000000.000
560,100.937
576,104.010
112,20.291
296,53.396
320,57.713
88,23.413
164,29.623
36,6.593
92,24.526
60,11.067
76,20.291
