data_size(MB),time(ms)
25,8.202
20,5.484
40,13.601
60,16.628
80,23.966
512,149.885
552,156.576
640,173.204
100,33.209
1002,328.188
30,9.056
50,16.631
256,69.295
286,80.353
320,88.203
10,3.034
502,164.725
296,80.078
70,20.099
15,4.863
35,11.469
128,34.705
153,48.996
160,47.787
5,1.686
250,82.265
168,45.740
55,18.235
7,2.061
27,8.492
64,17.383
86,27.475
2,0.638
22,7.169
126,37.377
104,29.514
57,19.269
37,12.222
47,15.564
17,5.879
120,32.499
1024,277.811
1104,322.598
1280,357.146
200,65.954
2004,656.696
572,165.221
592,160.065
140,38.757
306,100.614
336,98.079
110,36.365
173,54.926
45,14.574
208,56.394
115,37.842
75,22.728
95,31.177
240,78.700
2048,1000000.000
2208,1000000000.000
2560,1000000000.000
400,131.414
4008,1000000000.000
1144,315.233
1184,321.363
280,91.928
612,177.161
672,212.001
220,72.639
346,101.310
90,28.387
416,114.111
230,75.757
150,49.564
190,62.401
480,144.971
10000000,1000000000.000
4416,1000000000.000
800,262.217
2288,1000000000.000
2368,1000000000.000
560,160.070
1224,330.283
1344,412.225
440,144.733
692,220.204
180,53.032
832,224.339
460,151.164
300,99.643
380,125.076
