data_size(MB),time(ms)
25,4.054
20,3.339
40,6.443
60,9.397
80,12.297
512,75.039
552,80.755
640,93.627
100,18.454
1002,167.472
30,4.945
50,8.568
256,37.909
286,42.183
320,47.283
10,1.777
502,84.171
296,43.799
70,10.802
15,2.571
35,5.570
128,19.314
153,22.966
160,24.009
5,0.951
250,42.139
168,25.257
55,10.241
7,1.281
27,4.475
64,10.009
86,13.208
2,0.490
22,3.843
126,19.108
104,15.774
57,10.704
37,6.044
47,8.846
17,2.958
120,18.313
1024,149.156
1104,1000000000.000
1280,1000000000.000
200,36.734
2004,1000000000.000
572,83.704
592,86.609
140,21.106
306,45.262
336,49.601
110,20.366
173,25.987
45,7.003
208,30.971
115,21.304
75,11.472
95,17.610
240,35.644
2048,1000000000.000
2208,1000000000.000
2560,1000000000.000
400,73.200
4008,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,51.805
612,89.521
672,98.326
220,40.636
346,51.039
90,13.809
416,61.175
230,42.467
150,22.496
190,35.033
480,70.420
10000000,1000000000.000
4416,1000000000.000
800,146.579
2288,1000000000.000
2368,1000000000.000
560,82.133
1224,1000000000.000
1344,1000000000.000
440,81.287
692,101.222
180,26.876
832,121.331
460,84.874
300,44.363
380,70.064
