data_size(MB),time(ms)
15,0.432
10,0.323
20,0.573
30,0.814
40,1.136
256,6.182
276,6.656
384,9.052
50,1.330
1002,23.210
25,0.692
128,3.160
143,3.537
192,4.630
5,0.184
502,11.698
148,3.635
35,0.946
7,0.232
17,0.502
64,1.648
76,1.952
96,2.412
2,0.101
12,0.357
250,5.971
84,2.132
27,0.760
13,0.402
32,0.864
43,1.147
48,1.258
1,0.077
11,0.336
126,3.113
52,1.375
28,0.772
18,0.514
23,0.645
8,0.257
60,1.553
80,2.065
512,12.092
552,12.844
768,17.845
100,2.488
2004,46.354
286,6.830
296,7.100
70,1.789
153,3.788
168,4.102
55,1.434
86,2.177
22,0.617
104,2.580
57,1.489
37,0.998
47,1.262
120,2.979
160,3.896
1024,23.744
1104,25.688
1536,35.556
200,4.869
4008,92.562
572,13.449
592,13.875
140,3.455
306,7.385
336,8.025
110,2.705
173,4.231
45,1.187
208,5.032
115,2.850
75,1.906
95,2.389
240,5.775
320,7.661
2048,47.653
2208,51.052
3072,70.696
400,9.567
8016,1000000000.000
1144,26.668
1184,27.535
280,6.727
612,14.497
672,15.734
220,5.327
346,8.183
90,2.243
416,9.965
230,5.577
150,3.672
190,4.570
