data_size(MB),time(ms)
42,27.221
28,17.564
56,37.321
84,56.750
112,76.660
448,311.070
504,350.343
672,468.629
140,302.795
392,871.529
70,47.085
224,154.628
266,183.571
336,233.849
14,7.574
196,429.862
280,194.038
98,207.723
21,12.646
49,32.190
147,101.087
168,116.125
7,4.098
35,22.734
77,112.284
10,5.858
38,24.801
87,59.498
3,2.107
31,20.127
50,100.584
80,118.846
52,34.692
66,137.101
24,15.474
896,625.104
1008,703.397
1344,1000000000.000
786,1719.255
532,370.407
560,389.944
294,203.670
154,229.023
175,121.045
63,42.284
161,237.857
105,71.558
133,287.262
1792,1000000000.000
2016,1000000000.000
2688,1000000000.000
1572,1000000000.000
1064,1000000000.000
1120,1000000000.000
588,409.835
308,454.279
350,242.761
126,86.410
322,478.034
210,145.430
3584,1000000000.000
4032,1000000000.000
5376,1000000000.000
3142,1000000000.000
2128,1000000000.000
2240,1000000000.000
784,1739.734
1176,1000000000.000
616,937.171
700,487.938
252,174.862
644,972.284
420,291.774
