data_size(MB),time(ms)
10,1.938
8,1.617
16,2.989
24,3.999
32,5.288
256,44.745
272,47.924
320,57.878
40,6.638
392,122.631
12,2.308
20,3.352
128,21.345
140,23.386
160,27.210
4,0.849
196,61.568
144,23.907
28,4.703
6,1.252
14,2.654
64,10.650
74,12.357
80,13.296
2,0.439
98,16.403
22,6.734
3,0.674
11,2.447
41,6.770
1,0.281
9,1.771
50,15.648
48,7.935
23,6.953
15,2.843
19,8.515
7,1.430
512,98.778
544,104.314
640,121.842
786,243.761
280,125.047
288,51.661
56,9.303
148,24.806
44,13.983
82,13.688
18,3.220
96,16.459
46,14.582
30,4.973
38,16.927
1024,203.858
1088,1000000000.000
1280,1000000000.000
1572,1000000000.000
560,104.263
576,107.356
112,18.770
296,52.571
88,27.969
164,28.079
36,5.941
192,33.097
92,29.144
60,9.952
76,33.857
2048,1000000000.000
2176,1000000000.000
2560,1000000000.000
3142,1000000000.000
1120,1000000000.000
1152,1000000000.000
224,38.654
592,111.822
176,55.386
328,59.779
72,12.013
384,71.528
184,57.876
120,19.927
152,67.659
