op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,2930.462,7373.130,0.031,112.000,715.312,168.000,336.000,1160.000
enc-1st-layernorm,693.524,2170.002,112.000,224.000,0.000,112.062,0.000,896.000
enc-attention-qkv,34637.618,25715.309,224.000,448.000,294.000,336.000,336.000,896.000
enc-attention-score,4894.745,8265.936,448.000,2016.000,0.000,1792.000,1792.000,3920.000
enc-attention-softmax,5614.591,6949.133,2016.000,2016.000,0.000,1792.000,0.000,5376.000
enc-attention-dropout,9077.781,8337.587,2016.000,2016.000,0.000,2688.000,0.000,7168.000
enc-attention-context,4659.092,8100.843,2016.000,224.000,0.000,112.000,112.000,2128.000
enc-attention-dense,9261.107,7879.382,224.000,224.014,98.000,112.000,0.000,448.000
enc-post-attention-dropout,1739.156,951.850,224.014,112.000,0.000,168.000,112.000,488.000
enc-2nd-layernorm,687.301,2175.051,112.000,224.000,0.000,112.062,0.000,896.000
enc-MLP-GEMM-1,43518.376,30861.759,224.000,560.055,392.000,448.000,0.000,1456.000
enc-MLP-gelu,1803.499,3334.028,560.055,560.000,0.000,448.000,0.000,1904.000
enc-MLP-GEMM-2,56589.437,33677.977,560.000,224.014,392.000,112.000,0.000,784.000
enc-post-MLP-dropout,1695.347,949.496,224.014,112.000,0.000,168.000,112.000,488.000
final-layernorm,1167.661,1601.750,112.000,112.000,0.000,224.062,0.000,448.000
gpt-post-process,94396.615,74163.818,112.000,0.000,687.312,1572.102,785.898,0.000
