data_size(MB),time(ms)
15,4.807
10,3.362
20,6.383
30,9.525
40,12.777
256,81.405
276,87.735
384,122.110
50,15.951
1002,318.486
25,7.990
128,40.730
143,45.459
192,61.106
5,1.621
502,159.597
148,47.106
35,11.168
7,2.257
17,5.611
64,20.392
76,24.193
96,30.566
2,0.683
12,3.854
250,79.679
84,26.755
27,8.784
13,4.422
32,10.210
43,13.773
48,15.307
1,0.375
11,3.551
126,40.089
52,16.735
28,8.938
18,5.770
23,7.353
8,2.559
60,19.113
80,25.672
512,162.787
552,175.503
768,244.199
100,31.816
2004,636.896
286,90.929
296,94.172
70,22.301
153,48.696
168,53.484
55,17.533
86,27.545
22,7.047
104,33.059
57,18.313
37,11.812
47,15.129
120,38.212
160,50.904
1024,325.509
1104,350.819
1536,488.236
200,63.591
4008,1273.827
572,181.859
592,188.229
140,44.558
306,97.316
336,106.878
110,35.010
173,55.026
45,14.345
208,66.130
115,36.579
75,23.857
95,30.235
240,76.328
320,101.784
2048,650.769
2208,701.721
3072,976.423
400,127.231
8016,1000000000.000
1144,363.652
1184,376.322
280,89.064
612,194.527
672,213.640
220,69.947
346,109.981
90,28.649
416,132.237
230,73.101
150,47.690
190,60.403
