data_size(MB),time(ms)
15,2.995
10,2.097
20,4.958
30,5.659
40,7.599
256,47.863
276,51.890
384,71.668
50,13.923
1002,274.943
25,4.800
128,24.003
143,26.795
192,35.920
5,1.149
502,138.015
148,27.744
35,6.661
7,1.485
17,4.010
64,12.091
76,22.444
96,18.024
2,0.600
12,2.479
250,69.383
84,16.348
27,8.194
13,2.738
32,6.127
43,8.218
48,9.090
1,0.474
11,3.360
126,23.622
52,9.933
28,5.706
18,3.476
23,6.924
8,1.643
60,11.351
80,24.468
512,95.561
552,103.043
768,143.264
100,27.666
2004,551.101
286,53.434
296,55.400
70,13.192
153,29.402
168,31.740
55,17.009
86,16.269
22,6.625
104,20.247
57,16.963
37,7.037
47,14.010
120,22.510
160,29.963
1024,190.955
1104,205.781
1536,286.366
200,55.797
4008,954.370
572,106.715
592,110.455
140,33.893
306,57.170
336,63.017
110,32.250
173,32.682
45,9.828
208,39.472
115,33.733
75,14.081
95,27.890
240,45.530
320,59.790
2048,381.689
2208,412.167
3072,572.402
400,110.571
8016,1000000000.000
1144,213.268
1184,220.754
280,53.220
612,114.206
672,125.366
220,66.716
346,64.597
90,18.376
416,78.362
230,67.482
150,28.864
190,55.671
