data_size(MB),time(ms)
42,62.908
28,41.736
56,83.293
84,125.026
112,166.585
448,665.977
504,750.603
672,1000000000.000
140,319.408
392,894.305
70,104.850
224,333.752
266,395.567
336,499.500
14,20.926
196,447.308
280,416.394
98,223.429
21,31.645
49,72.921
147,218.617
168,249.938
7,10.509
35,52.110
77,147.063
10,15.700
38,57.365
87,130.185
3,5.811
31,47.288
50,114.277
80,153.979
52,78.158
66,146.639
24,36.508
896,1000000000.000
1008,1000000000.000
1344,1000000000.000
786,1000000000.000
532,1000000000.000
560,1000000000.000
294,438.440
154,295.117
175,260.714
63,94.725
161,306.653
105,157.327
133,292.957
1792,1000000000.000
2016,1000000000.000
2688,1000000000.000
1572,1000000000.000
1064,1000000000.000
1120,1000000000.000
588,1000000000.000
308,587.069
350,520.389
126,187.388
322,614.337
210,314.098
3584,1000000000.000
4032,1000000000.000
5376,1000000000.000
3142,1000000000.000
2128,1000000000.000
2240,1000000000.000
784,1000000000.000
1176,1000000000.000
616,1000000000.000
700,1000000000.000
252,374.857
644,1000000000.000
420,624.318
