data_size(MB),time(ms)
42,10.892
28,7.284
56,14.522
84,21.774
112,28.982
448,115.945
504,130.463
672,173.870
140,36.254
392,101.612
70,18.102
224,57.948
266,68.728
336,86.979
14,3.676
196,50.849
280,72.529
98,25.388
21,5.448
49,12.693
147,38.102
168,43.485
7,1.845
35,9.073
77,19.990
10,2.741
38,9.988
87,22.697
3,0.944
31,8.212
50,12.976
80,20.878
52,13.617
66,17.221
24,6.374
896,232.007
1008,260.966
1344,348.007
786,203.507
532,137.829
560,144.948
294,76.032
154,39.841
175,45.244
63,16.256
161,41.585
105,27.213
133,34.311
1792,463.995
2016,521.919
2688,695.962
1572,406.899
1064,275.421
1120,289.978
588,152.248
308,79.698
350,90.576
126,32.654
322,83.382
210,54.415
3584,927.930
4032,1044.029
5376,1000000000.000
3142,813.543
2128,550.877
2240,579.993
784,202.914
1176,304.383
616,159.427
700,181.243
252,65.273
644,166.604
420,108.647
