op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,14713.103,3943.706,0.031,40.000,333.125,50.035,109.965,522.000
enc-1st-layernorm,218.648,741.744,40.000,80.000,0.000,40.031,0.000,160.000
enc-attention-qkv,3278.416,15660.244,80.000,70.000,18.750,30.000,0.000,70.000
enc-attention-score,1059.788,2792.567,70.000,306.000,0.000,256.000,256.000,30.000
enc-attention-softmax,3410.578,5958.337,306.000,306.000,0.000,256.000,256.000,512.000
enc-attention-dropout,1163.632,1088.560,306.000,306.000,0.000,320.000,0.000,512.000
enc-attention-context,1526.374,2486.718,306.000,50.000,0.000,10.000,0.000,266.000
enc-attention-dense,13692.600,933.492,50.000,80.010,6.250,40.000,0.000,40.000
enc-post-attention-dropout,558.716,325.084,80.010,40.000,0.000,50.000,30.000,118.000
enc-2nd-layernorm,217.968,741.947,40.000,80.000,0.000,40.031,0.000,160.000
enc-MLP-GEMM-1,4197.788,16304.874,80.000,80.010,25.000,40.000,0.000,80.000
enc-MLP-gelu,161.469,313.556,80.010,80.000,0.000,40.000,0.000,118.000
enc-MLP-GEMM-2,16298.497,3588.670,80.000,80.010,25.000,40.000,0.000,80.000
enc-post-MLP-dropout,557.649,324.970,80.010,40.000,0.000,50.000,30.000,118.000
final-layernorm,371.438,847.161,40.000,40.000,0.000,80.031,0.000,80.000
gpt-post-process,55084.062,60793.126,40.000,0.000,313.125,502.051,0.000,0.000
