data_size(MB),time(ms)
25,18.414
20,14.419
40,35.710
60,43.155
80,57.545
512,368.223
552,396.983
640,460.181
100,98.916
1002,989.085
30,21.636
50,49.564
256,184.255
286,205.794
320,230.025
10,7.306
502,495.603
296,213.017
70,50.390
15,10.872
35,25.293
128,91.971
153,110.195
160,115.136
5,3.657
250,247.308
168,120.934
55,54.385
7,5.131
27,19.890
64,46.053
86,62.351
2,1.506
22,15.913
126,90.748
104,74.879
57,56.925
37,27.105
47,42.191
17,12.679
120,86.333
1024,736.703
1104,1000000000.000
1280,1000000000.000
200,197.748
2004,1000000000.000
572,411.349
592,425.747
140,100.733
306,220.205
336,241.709
110,108.725
173,124.605
45,32.510
208,149.707
115,113.578
75,54.066
95,84.376
240,172.637
2048,1000000000.000
2208,1000000000.000
2560,1000000000.000
400,395.206
4008,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,276.904
612,439.886
672,483.310
220,217.470
346,248.980
90,64.892
416,299.167
230,227.157
150,107.967
190,168.605
480,345.062
4096,1000000000.000
4416,1000000000.000
5120,1000000000.000
800,789.950
8016,1000000000.000
2288,1000000000.000
2368,1000000000.000
560,402.821
1224,1000000000.000
1344,1000000000.000
440,434.649
692,497.594
180,129.509
832,598.213
460,454.497
300,215.678
380,337.050
