data_size(MB),time(ms)
25,2.888
20,2.308
40,4.494
60,6.779
80,9.256
512,58.638
552,63.077
640,72.919
100,11.024
1002,111.848
30,3.487
50,5.736
256,29.311
286,32.500
320,36.523
10,1.232
502,56.486
296,33.223
70,8.034
15,1.778
35,4.005
128,14.609
153,17.625
160,18.316
5,0.792
250,28.013
168,19.171
55,6.108
7,1.079
27,3.212
64,7.286
86,9.918
2,0.355
22,2.559
126,14.556
104,11.887
57,6.379
37,4.362
47,5.293
17,2.056
120,13.666
1024,116.481
1104,125.946
1280,146.561
200,21.887
2004,221.487
572,66.452
592,67.093
140,16.109
306,35.380
336,39.061
110,12.155
173,20.124
45,5.264
208,24.065
115,12.696
75,8.716
95,10.441
240,27.787
2048,235.384
2208,1000000000.000
2560,1000000000.000
400,43.732
4008,1000000000.000
1144,130.560
1184,135.070
280,30.705
612,70.937
672,77.413
220,24.156
346,38.984
90,10.334
416,47.204
230,25.220
150,17.432
190,20.783
480,54.820
4096,1000000000.000
4416,1000000000.000
5120,1000000000.000
800,87.250
8016,1000000000.000
2288,1000000000.000
2368,1000000000.000
560,64.531
1224,141.493
1344,153.678
440,48.282
692,78.631
180,20.552
832,93.836
460,50.394
300,34.744
380,41.439
