data_size(MB),time(ms)
10,1.232
8,1.248
16,1.918
24,2.825
32,3.554
256,29.311
272,31.098
320,36.523
40,4.494
392,44.842
12,1.417
20,2.308
128,14.609
140,16.109
160,18.316
4,0.634
196,22.450
144,16.620
28,3.185
6,0.902
14,1.634
64,7.286
74,8.487
80,9.256
2,0.355
98,11.068
22,2.559
3,0.492
11,1.328
41,4.701
1,0.223
9,1.077
50,5.736
48,5.620
23,2.769
15,1.778
19,2.179
7,1.079
512,58.638
544,62.160
640,72.919
786,86.341
280,30.705
288,32.632
56,6.476
148,16.756
44,5.086
82,9.351
18,2.084
96,11.017
46,5.289
30,3.487
38,4.229
1024,116.481
1088,124.167
1280,146.561
1572,171.901
560,64.531
576,65.977
112,12.963
296,33.223
88,10.007
164,18.914
36,4.127
192,22.070
92,10.615
60,6.779
76,8.376
2048,235.384
2176,1000000000.000
2560,1000000000.000
3142,1000000000.000
1120,128.709
1152,132.438
224,25.331
592,67.093
176,20.130
328,37.682
72,8.268
384,43.523
184,21.121
120,13.666
152,16.613
