data_size(MB),time(ms)
10,2.034
8,1.522
16,3.006
24,4.467
32,5.907
256,46.063
272,48.906
320,57.582
40,7.254
392,66.898
12,2.349
20,3.726
128,23.054
140,25.288
160,28.873
4,0.844
196,33.654
144,25.934
28,5.168
6,1.172
14,2.661
64,11.569
74,13.343
80,14.451
2,0.522
98,17.756
22,4.004
3,0.678
11,2.061
41,7.472
1,0.354
9,1.684
50,8.867
48,8.785
23,4.125
15,2.706
19,3.516
7,1.398
512,92.028
544,97.805
640,114.899
786,132.914
280,48.419
288,51.915
56,10.209
148,26.696
44,7.918
82,14.818
18,3.324
96,17.295
46,8.156
30,5.472
38,6.954
1024,183.914
1088,195.436
1280,229.881
1572,273.054
560,100.639
576,103.446
112,20.257
296,53.223
88,15.502
164,29.512
36,6.584
192,34.588
92,16.164
60,10.878
76,13.695
2048,367.747
2176,390.836
2560,459.710
3142,544.979
1120,201.221
1152,207.014
224,40.329
592,106.339
176,30.964
328,59.013
72,12.999
384,69.012
184,32.196
120,21.626
152,27.318
