op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,981.718,2546.102,0.016,20.000,323.125,30.035,59.965,442.000
enc-1st-layernorm,79.167,260.240,20.000,40.000,0.000,20.031,0.000,160.000
enc-attention-qkv,2460.587,921.071,30.000,80.000,18.750,60.000,60.000,190.000
enc-attention-score,630.140,1048.356,60.000,296.000,0.000,256.000,256.000,542.000
enc-attention-softmax,577.205,744.617,296.000,296.000,0.000,256.000,0.000,768.000
enc-attention-dropout,938.588,816.488,296.000,296.000,0.000,384.000,0.000,1024.000
enc-attention-context,602.192,1087.368,296.000,40.000,0.000,10.000,10.000,286.000
enc-attention-dense,875.878,267.065,40.000,50.005,6.250,20.000,0.000,70.000
enc-post-attention-dropout,221.777,122.929,50.005,30.000,0.000,30.000,10.000,160.000
enc-2nd-layernorm,79.608,260.723,30.000,50.000,0.000,20.031,0.000,160.000
enc-MLP-GEMM-1,1128.536,1722.276,50.000,70.010,25.000,40.000,0.000,140.000
enc-MLP-gelu,117.356,227.726,70.010,70.000,0.000,40.000,0.000,240.000
enc-MLP-GEMM-2,1667.947,1023.614,70.000,50.005,25.000,20.000,0.000,100.000
enc-post-MLP-dropout,220.609,123.394,50.005,30.000,0.000,30.000,10.000,160.000
final-layernorm,146.735,576.079,30.000,30.000,0.000,40.031,0.000,80.000
gpt-post-process,25664.419,17228.544,30.000,10.000,313.125,1002.051,501.949,0.000
