data_size(MB),time(ms)
15,1.293
10,0.994
20,2.804
30,2.370
40,3.081
256,18.387
276,19.697
384,27.299
50,6.934
1002,134.232
25,1.976
128,9.426
143,10.433
192,13.933
5,0.959
502,67.378
148,10.738
35,2.680
7,0.667
17,1.626
64,4.806
76,5.673
96,7.103
2,0.674
12,1.053
250,33.789
84,6.165
27,3.867
60,4.497
80,5.947
512,36.252
552,38.948
768,54.160
100,13.640
2004,1000000000.000
286,20.501
296,21.147
70,5.147
153,11.109
168,12.119
55,7.542
120,8.778
160,11.601
1024,71.932
1104,1000000000.000
1536,1000000000.000
200,26.988
4008,1000000000.000
572,40.375
592,41.820
140,19.051
306,21.776
336,23.971
110,15.018
240,17.250
320,22.908
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,53.747
10000000,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,20.039
612,43.071
672,47.360
220,29.775
