data_size(MB),time(ms)
15,1.026
10,0.725
20,1.265
30,1.751
40,2.341
256,13.784
276,14.591
384,20.549
50,3.725
1002,52.002
25,1.479
128,7.001
143,7.537
192,10.475
5,0.479
502,26.132
148,8.051
35,1.989
7,0.702
17,1.140
64,3.594
76,4.110
96,5.291
2,0.316
12,1.453
250,13.256
84,4.498
27,2.105
60,3.278
80,4.472
512,27.333
552,28.912
768,41.004
100,7.224
2004,1000000000.000
286,14.885
296,15.882
70,3.815
153,8.145
168,8.839
55,4.125
120,6.346
160,8.669
1024,54.547
1104,1000000000.000
1536,1000000000.000
200,14.260
4008,1000000000.000
572,29.636
592,30.605
140,7.433
306,15.917
336,17.581
110,7.970
240,12.479
320,17.148
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,28.181
10000000,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,14.544
612,31.589
672,35.105
220,15.661
