data_size(MB),time(ms)
42,0.692
28,0.535
56,0.864
84,1.189
112,1.506
448,5.421
504,6.061
672,8.034
140,2.481
392,6.324
70,1.038
224,2.750
266,3.279
336,4.103
14,0.345
196,3.350
280,3.457
98,1.851
21,0.443
49,0.769
147,1.886
168,2.120
7,0.257
35,0.623
77,1.498
896,10.533
1008,11.869
1344,15.513
786,12.101
532,6.334
560,6.677
294,3.612
154,2.681
1792,20.809
2016,23.330
2688,31.204
1572,23.299
1064,12.511
1120,13.104
588,7.023
308,5.036
10000000,1000000000.000
4032,1000000.000
3142,45.743
2128,24.648
2240,26.185
784,11.993
1176,13.829
616,9.615
