data_size(MB),time(ms)
6,0.245
4,0.201
8,0.309
12,0.406
16,0.505
128,3.085
136,3.254
192,4.534
20,0.799
392,12.514
10,0.358
64,1.546
70,1.713
96,2.332
2,0.155
196,6.334
72,1.758
14,0.458
3,0.179
7,0.279
32,0.865
37,0.983
48,1.200
1,0.172
5,0.237
98,3.235
40,1.031
11,0.395
24,0.671
256,6.008
272,6.376
384,8.949
786,24.761
140,4.547
144,3.415
28,0.807
74,1.807
80,1.928
22,0.662
512,11.875
544,12.561
768,17.592
1572,49.193
280,6.560
288,6.785
56,1.468
148,3.526
160,3.773
44,1.140
1024,23.489
1088,25.038
1536,34.989
3142,1000000000.000
560,12.921
576,13.299
112,2.728
296,6.948
320,7.481
88,2.215
