data_size(MB),time(ms)
6,0.188
4,0.149
8,0.223
12,0.299
16,0.372
128,2.324
136,2.440
192,3.354
20,0.455
392,6.739
10,0.260
64,1.181
70,1.301
96,1.738
2,0.107
196,3.445
72,1.340
14,0.335
3,0.129
7,0.204
32,0.659
37,0.762
48,0.915
1,0.092
5,0.166
98,1.795
40,0.813
11,0.280
24,0.520
256,4.457
272,4.729
384,6.595
786,13.251
140,2.491
144,2.555
28,0.592
74,1.370
80,1.472
22,0.484
512,8.697
544,9.259
768,12.890
1572,26.180
280,4.849
288,4.962
56,1.045
148,2.621
160,2.835
44,0.870
1024,17.116
1088,18.173
1536,25.471
3142,51.582
560,9.518
576,9.767
112,2.044
296,5.124
320,5.534
88,1.616
