op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,7819.647,8751.887,0.062,224.000,743.312,280.070,671.930,1744.000
enc-1st-layernorm,943.941,3178.293,224.000,448.000,0.000,224.062,0.000,896.000
enc-attention-qkv,101369.083,91279.608,448.000,560.000,294.000,336.000,336.000,560.000
enc-attention-score,10273.314,17004.973,560.000,2128.000,0.000,1792.000,1792.000,336.000
enc-attention-softmax,15364.039,28561.646,2128.000,2128.000,0.000,1792.000,1792.000,3584.000
enc-attention-dropout,5575.442,5060.327,2128.000,2128.000,0.000,2240.000,0.000,3584.000
enc-attention-context,9843.564,17737.305,2128.000,336.000,0.000,112.000,112.000,1904.000
enc-attention-dense,33068.562,28488.708,336.000,448.027,98.000,224.000,0.000,336.000
enc-post-attention-dropout,2103.734,1207.966,448.027,224.000,0.000,280.000,224.000,530.000
enc-2nd-layernorm,916.493,2899.563,224.000,448.000,0.000,224.062,0.000,896.000
enc-MLP-GEMM-1,114590.031,114905.024,448.000,672.055,392.000,448.000,0.000,672.000
enc-MLP-gelu,1197.451,2257.317,672.055,672.000,0.000,448.000,0.000,980.000
enc-MLP-GEMM-2,120428.079,108790.731,672.000,448.027,392.000,224.000,0.000,672.000
enc-post-MLP-dropout,2094.918,1211.023,448.027,224.000,0.000,280.000,224.000,530.000
final-layernorm,1491.714,2074.087,224.000,224.000,0.000,448.062,0.000,448.000
gpt-post-process,326554.096,196594.149,224.000,0.000,687.312,786.102,0.000,0.000
