op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,3131.306,2254.921,0.125,64.000,57.094,80.141,191.859,144.000
enc-1st-layernorm,200.307,716.478,64.000,128.000,0.000,64.125,0.000,256.000
enc-attention-qkv,1994.169,4178.190,128.000,112.000,3.000,48.000,48.000,112.000
enc-attention-score,1532.090,3014.469,112.000,592.000,0.000,512.000,512.000,48.000
enc-attention-softmax,4405.928,8174.443,592.000,592.000,0.000,512.000,512.000,1024.000
enc-attention-dropout,1659.602,1451.683,592.000,592.000,0.000,640.000,0.000,1024.000
enc-attention-context,1494.515,2867.621,592.000,80.000,0.000,16.000,16.000,528.000
enc-attention-dense,2600.306,659.788,80.000,128.004,1.000,64.000,0.000,80.000
enc-post-attention-dropout,622.618,350.875,128.004,64.000,0.000,80.000,64.000,208.000
enc-2nd-layernorm,181.931,694.889,64.000,128.000,0.000,64.125,0.000,256.000
enc-MLP-GEMM-1,2480.620,4636.353,128.000,128.004,4.000,64.000,0.000,128.000
enc-MLP-gelu,175.589,349.766,128.004,128.000,0.000,64.000,0.000,208.000
enc-MLP-GEMM-2,4459.089,2317.756,128.000,128.004,4.000,64.000,0.000,128.000
enc-post-MLP-dropout,606.209,351.822,128.004,64.000,0.000,80.000,64.000,208.000
final-layernorm,350.767,603.271,64.000,64.000,0.000,128.125,0.000,128.000
gpt-post-process,36382.568,32362.306,64.000,0.000,49.094,786.203,0.000,0.000
