data_size(MB),time(ms)
25,0.539
20,0.447
40,0.823
60,1.116
80,1.472
512,8.699
552,9.406
640,10.827
100,1.826
1002,16.736
30,0.628
50,0.945
256,4.468
286,4.945
320,5.540
10,0.261
502,8.547
296,5.121
70,1.297
15,0.355
35,0.724
128,2.325
153,2.716
160,2.837
5,0.166
250,4.368
168,2.979
55,1.032
120,2.187
1024,17.115
1104,18.435
1280,21.303
200,3.524
2004,33.074
572,9.696
592,10.040
140,2.513
306,5.296
336,5.817
110,2.008
240,4.177
2048,33.846
2208,36.446
2560,42.113
400,6.878
4008,65.768
1144,19.065
1184,19.767
280,4.857
612,10.380
672,11.396
220,3.858
480,8.178
4096,67.106
4416,1000000000.000
10000000,1000000000.000
800,13.458
2288,37.648
2368,38.945
560,9.500
1224,20.394
1344,22.299
440,7.539
