data_size(MB),time(ms)
25,0.478
20,0.413
40,0.717
60,0.883
80,1.090
512,5.989
552,6.494
640,7.425
100,1.508
1002,11.551
30,0.544
50,0.748
256,3.132
286,3.468
320,3.807
10,0.288
502,5.907
296,3.574
70,1.005
15,0.348
35,0.601
128,1.601
153,1.892
160,1.960
5,0.244
250,3.067
168,2.084
55,0.932
120,1.532
1024,11.771
1104,12.635
1280,14.747
200,2.665
2004,22.768
572,6.678
592,6.941
140,1.760
306,3.662
336,4.013
110,1.617
240,2.944
2048,23.027
2208,24.932
2560,28.849
400,5.018
4008,46.395
1144,13.103
1184,13.489
280,3.640
612,7.113
672,7.818
220,2.900
480,5.657
4096,45.912
4416,1000000000.000
10000000,1000000000.000
800,9.749
2288,25.762
2368,26.625
560,6.582
1224,13.958
1344,15.331
440,5.488
