data_size(MB),time(ms)
70,3.962
56,3.184
112,6.159
168,9.148
224,12.131
896,48.029
1008,54.305
1120,1000000000.000
280,21.165
392,21.178
84,4.694
140,7.668
448,24.046
532,28.571
560,30.176
28,1.702
196,10.733
42,2.460
98,5.411
294,15.932
14,0.963
336,18.156
154,11.784
1792,1000000000.000
2016,1000000000.000
2240,1000000000.000
786,42.312
1064,1000000000.000
588,31.679
672,36.093
308,23.268
3584,1000000000.000
4032,1000000000.000
10000000,1000000000.000
1572,1000000000.000
2128,1000000000.000
784,42.212
1176,1000000000.000
1344,1000000000.000
616,46.147
8064,1000000000.000
3142,1000000000.000
4256,1000000000.000
4480,1000000000.000
1568,1000000000.000
2352,1000000000.000
2688,1000000000.000
1232,1000000000.000
