mbs,tp,algo,fwd,bwd,fwd+bwd
1,1,0,0.003442,0.005058,0.008501
1,1,1,0.003448,0.005033,0.008481
1,2,0,0.002707,0.003768,0.006475
1,2,1,0.002960,0.003442,0.006401
1,4,0,0.002239,0.003034,0.005272
1,4,1,0.002632,0.002720,0.005352
2,1,0,0.006363,0.009203,0.015566
2,1,1,0.006435,0.009200,0.015635
2,2,0,0.004035,0.005670,0.009706
2,2,1,0.004599,0.005380,0.009979
2,4,0,0.002999,0.003901,0.006900
2,4,1,0.003606,0.003544,0.007150
4,1,0,0.012408,0.017811,0.030219
4,1,1,0.012556,0.017818,0.030374
4,2,0,0.007302,0.010227,0.017529
4,2,1,0.008226,0.009880,0.018106
4,4,0,0.004681,0.006226,0.010907
4,4,1,0.005794,0.005834,0.011628
8,1,0,0.024589,0.035387,0.059975
8,1,1,0.024910,0.035403,0.060313
8,2,0,0.013986,0.019636,0.033622
8,2,1,0.015704,0.019200,0.034904
8,4,0,0.008514,0.011610,0.020123
8,4,1,0.010627,0.011049,0.021676
