mbs,tp,algo,fwd,bwd,fwd+bwd
1,1,0,0.001854,0.002464,0.004317
1,1,1,0.001880,0.002462,0.004341
1,2,0,0.001904,0.002365,0.004269
1,2,1,0.002287,0.002152,0.004439
1,4,0,0.001528,0.002026,0.003554
1,4,1,0.001804,0.001824,0.003628
2,1,0,0.002996,0.003994,0.006991
2,1,1,0.003031,0.003989,0.007020
2,2,0,0.002529,0.003144,0.005672
2,2,1,0.003163,0.002847,0.006010
2,4,0,0.001829,0.002388,0.004217
2,4,1,0.002219,0.002162,0.004382
4,1,0,0.005593,0.007388,0.012980
4,1,1,0.005697,0.007406,0.013103
4,2,0,0.004016,0.005040,0.009056
4,2,1,0.005165,0.004562,0.009727
4,4,0,0.002528,0.003199,0.005726
4,4,1,0.003169,0.002915,0.006084
8,1,0,0.011069,0.014728,0.025796
8,1,1,0.011293,0.014847,0.026141
8,2,0,0.007386,0.009277,0.016663
8,2,1,0.009595,0.008578,0.018173
8,4,0,0.004193,0.005372,0.009565
8,4,1,0.005441,0.004991,0.010432
