mbs,tp,algo,fwd,bwd,fwd+bwd
1,1,0,0.011265,0.015475,0.026740
1,1,1,0.011431,0.015502,0.026933
1,2,0,0.009910,0.012371,0.022280
1,2,1,0.016323,0.010135,0.026458
1,4,0,0.008646,0.010321,0.018967
1,4,1,0.016710,0.007553,0.024263
1,8,0,0.007964,0.009080,0.017044
1,8,1,0.016744,0.006127,0.022872
2,1,0,0.022918,0.030506,0.053424
2,1,1,0.023124,0.030544,0.053669
2,2,0,0.019832,0.024127,0.043960
2,2,1,0.032577,0.019937,0.052514
2,4,0,0.016466,0.018974,0.035440
2,4,1,0.032077,0.013675,0.045752
2,8,0,0.014947,0.016809,0.031755
2,8,1,0.032019,0.011109,0.043128
4,1,0,0.045927,0.060616,0.106542
4,1,1,0.046179,0.060710,0.106889
4,2,0,0.039850,0.047620,0.087470
4,2,1,0.065005,0.039535,0.104539
4,4,0,0.032720,0.037229,0.069949
4,4,1,0.063891,0.027049,0.090941
4,8,0,0.029088,0.031746,0.060834
4,8,1,0.063350,0.020934,0.084284
8,1,0,0.091720,0.120722,0.212442
8,1,1,0.092412,0.121016,0.213428
8,2,0,0.079379,0.094627,0.174006
8,2,1,0.129799,0.078818,0.208617
8,4,0,0.065348,0.073428,0.138776
8,4,1,0.127515,0.053605,0.181120
8,8,0,0.058021,0.062828,0.120850
8,8,1,0.126146,0.041391,0.167536
