mbs,tp,algo,fwd,bwd,fwd+bwd
1,1,0,0.010881,0.015140,0.026021
1,1,1,0.011138,0.015216,0.026353
1,2,0,0.009728,0.012413,0.022141
1,2,1,0.016101,0.010072,0.026173
1,4,0,0.008340,0.010515,0.018855
1,4,1,0.016326,0.007616,0.023942
1,8,0,0.007744,0.009344,0.017088
1,8,1,0.016378,0.006165,0.022543
2,1,0,0.021975,0.029721,0.051695
2,1,1,0.022207,0.029753,0.051960
2,2,0,0.019526,0.023812,0.043338
2,2,1,0.032288,0.019653,0.051940
2,4,0,0.016066,0.018888,0.034954
2,4,1,0.031728,0.013583,0.045311
2,8,0,0.014708,0.016764,0.031472
2,8,1,0.031876,0.010995,0.042871
4,1,0,0.044222,0.058484,0.102706
4,1,1,0.044497,0.058639,0.103136
4,2,0,0.039084,0.046724,0.085807
4,2,1,0.064468,0.038721,0.103188
4,4,0,0.032177,0.036753,0.068929
4,4,1,0.063339,0.026417,0.089756
4,8,0,0.028837,0.031574,0.060411
4,8,1,0.062964,0.020612,0.083576
8,1,0,0.088941,0.116344,0.205285
8,1,1,0.090745,0.118225,0.208971
8,2,0,0.077888,0.092153,0.170041
8,2,1,0.128220,0.076437,0.204657
8,4,0,0.064183,0.072137,0.136320
8,4,1,0.126368,0.052522,0.178890
8,8,0,0.057450,0.062298,0.119748
8,8,1,0.125462,0.040739,0.166201
