mbs,tp,algo,fwd,bwd,fwd+bwd
1,1,0,0.009069,0.012333,0.021403
1,1,1,0.009050,0.012261,0.021310
1,2,0,0.005224,0.007369,0.012593
1,2,1,0.006032,0.006939,0.012971
1,4,0,0.003533,0.005059,0.008592
1,4,1,0.004531,0.004709,0.009240
2,1,0,0.017291,0.023678,0.040970
2,1,1,0.017397,0.023674,0.041071
2,2,0,0.009795,0.013403,0.023198
2,2,1,0.010939,0.012875,0.023814
2,4,0,0.006156,0.008049,0.014205
2,4,1,0.007813,0.007471,0.015284
4,1,0,0.034698,0.046844,0.081543
4,1,1,0.034959,0.046818,0.081777
4,2,0,0.019312,0.026168,0.045480
4,2,1,0.021477,0.025440,0.046916
4,4,0,0.011457,0.015508,0.026964
4,4,1,0.013979,0.014442,0.028422
8,1,0,0.067591,0.091735,0.159326
8,1,1,0.068002,0.091878,0.159880
8,2,0,0.037664,0.050462,0.088126
8,2,1,0.041689,0.049543,0.091232
8,4,0,0.022413,0.029764,0.052177
8,4,1,0.027090,0.028155,0.055245
